Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
66;DATORA;32,92;0,0;0,0
66;NEXTEL;6,67;0,0;0,0
66;OI;314407,92;0,1783;317,90889999999996
66;OUTROS;5467,33;0,0031;0,09609999999999999
66;TELECOM AMERICAS;352284,69;0,1997;398,80089999999996
66;TELECOM ITALIA;102473,58;0,0581;33,756099999999996
66;TELEFONICA;989045,41;0,5608;3144,9663999999993
67;ALGAR (CTBC TELECOM);14938,15;0,0051;0,26010000000000005
67;NEXTEL;40,9;0,0;0,0
67;OI;233890,88;0,0791;62,56810000000001
67;OUTROS;10018,79;0,0034;0,1156
67;TELECOM AMERICAS;1033779,79;0,3495;1221,5024999999998
67;TELECOM ITALIA;271116,61;0,0917;84,08890000000001
67;TELEFONICA;1393734,66;0,4713;2221,2369
68;DATORA;184,17;0,0002;0,0004
68;NEXTEL;4,94;0,0;0,0
68;OI;80695,14;0,1002;100,4004
68;OUTROS;5885,24;0,0073;0,5329
68;TELECOM AMERICAS;347934,8;0,432;1866,2399999999998
68;TELECOM ITALIA;26242,69;0,0326;10,627599999999997
68;TELEFONICA;344369,46;0,4276;1828,4176
69;DATORA;122,5;0,0001;0,0001
69;NEXTEL;12,1;0,0;0,0
69;OI;313753,23;0,1812;328,33439999999996
69;OUTROS;6696,35;0,0039;0,15209999999999999
69;TELECOM AMERICAS;946780,37;0,5469;2990,9961000000008
69;TELECOM ITALIA;104912,54;0,0606;36,7236
69;TELEFONICA;359004,1;0,2074;430,1476
71;DATORA;6760,92;0,0013;0,0169
71;NEXTEL;68,57;0,0;0,0
71;OI;1798223,35;0,3429;1175,8040999999998
71;OUTROS;27992,09;0,0053;0,2809
71;TELECOM AMERICAS;1169444,65;0,223;497,29
71;TELECOM ITALIA;1059283,86;0,202;408,0400000000001
71;TELEFONICA;1182745,52;0,2255;508,5025
73;DATORA;24,17;0,0;0,0
73;NEXTEL;18,11;0,0;0,0
73;OI;591010,98;0,2567;658,9489
73;OUTROS;8801,59;0,0038;0,1444
73;TELECOM AMERICAS;551514,08;0,2396;574,0816000000001
73;TELECOM ITALIA;310790,39;0,135;182,25000000000003
73;TELEFONICA;839848,95;0,3648;1330,7904
74;DATORA;35,84;0,0;0,0
74;NEXTEL;4,79;0,0;0,0
74;OI;420402,44;0,3098;959,7604000000001
74;OUTROS;9108,39;0,0067;0,4489000000000001
74;TELECOM AMERICAS;183699,9;0,1354;183,33159999999998
74;TELECOM ITALIA;163914,94;0,1208;145,9264
74;TELEFONICA;579970,89;0,4273;1825,8529
75;DATORA;460,83;0,0001;0,0001
75;NEXTEL;19,09;0,0;0,0
75;OI;632740,43;0,1802;324,7204
75;OUTROS;7787,25;0,0022;0,048400000000000006
75;TELECOM AMERICAS;997590,34;0,2841;807,1281000000001
75;TELECOM ITALIA;733878,11;0,209;436,81
75;TELEFONICA;1139096,79;0,3244;1052,3536000000001
77;DATORA;39,17;0,0;0,0
77;NEXTEL;9,11;0,0;0,0
77;OI;464027,75;0,2174;472,62760000000003
77;OUTROS;9072,14;0,0043;0,1849
77;TELECOM AMERICAS;343457,38;0,1609;258,88809999999995
77;TELECOM ITALIA;327983,14;0,1537;236,23690000000002
77;TELEFONICA;989573,61;0,4637;2150,1769
79;DATORA;354,16;0,0002;0,0004
79;NEXTEL;16,34;0,0;0,0
79;OI;473140,27;0,2113;446,47689999999994
79;OUTROS;7184,18;0,0032;0,1024
79;TELECOM AMERICAS;194459,84;0,0869;75,51610000000001
79;TELECOM ITALIA;159544,37;0,0713;50,8369
79;TELEFONICA;1404242,05;0,6272;3933,7983999999997
81;DATORA;4578,59;0,0006;0,0035999999999999995
81;NEXTEL;60,5;0,0;0,0
81;OI;2830845,89;0,3656;1336,6336
81;OUTROS;14790,3;0,0019;0,0361
81;TELECOM AMERICAS;2245233,89;0,29;840,9999999999999
81;TELECOM ITALIA;1827505,59;0,236;556,9599999999999
81;TELEFONICA;820153,92;0,1059;112,14809999999999
82;DATORA;711,67;0,0002;0,0004
82;NEXTEL;27,71;0,0;0,0
82;OI;817853,86;0,2726;743,1076
82;OUTROS;7263,74;0,0024;0,05759999999999999
82;TELECOM AMERICAS;760350,96;0,2534;642,1156
82;TELECOM ITALIA;926333,94;0,3087;952,9568999999999
82;TELEFONICA;488015,34;0,1626;264,38759999999996
83;DATORA;1561,34;0,0004;0,0016
